epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
25,0.678140,0.677662,0.677662,0.712486,0.642838,0.242269,0.500000,0.500000,0.500000,1.000000,0.977431,0.984375,0.666667,0.000000,0.017696,0.509557,0.525836,0.518464,0.958333,0.958333,0.677056,0.677056,0.711215,0.642897,0.241967,0.500000,0.500000,0.500000,1.000000,0.987847,0.990591,0.666667,0.000000,0.017369,0.508936,0.525802,0.519015,0.979167,0.978723
26,0.679618,0.676085,0.676085,0.711313,0.640856,0.241483,0.500000,0.500000,0.500000,1.000000,0.977431,0.984375,0.666667,0.000000,0.017932,0.508978,0.526887,0.518726,0.958333,0.958333,0.675423,0.675423,0.709919,0.640927,0.241152,0.520833,0.520833,0.510638,1.000000,0.987847,0.990591,0.676056,0.145865,0.017572,0.508297,0.526847,0.519252,0.979167,0.978723
27,0.679448,0.675857,0.675857,0.666206,0.685507,0.241357,0.833333,0.833333,1.000000,0.666667,0.977431,0.983357,0.800000,0.707107,0.323239,0.486330,0.503883,0.495668,0.958333,0.958333,0.675250,0.675250,0.664907,0.685593,0.241054,0.812500,0.812500,1.000000,0.625000,0.991319,0.992816,0.769231,0.674200,0.302198,0.485665,0.503837,0.495652,0.979167,0.978723
28,0.677080,0.673014,0.673014,0.692636,0.653391,0.239941,0.750000,0.750000,0.676471,0.958333,0.977431,0.983357,0.793103,0.550019,0.237776,0.499718,0.520341,0.510743,0.958333,0.958333,0.672279,0.672279,0.691067,0.653490,0.239574,0.812500,0.812500,0.727273,1.000000,0.989583,0.991667,0.842105,0.674200,0.300469,0.498938,0.520286,0.511125,0.979167,0.978723
29,0.671559,0.670019,0.670019,0.720647,0.619392,0.238475,0.500000,0.500000,0.500000,1.000000,0.977431,0.984375,0.666667,0.000000,0.025940,0.513521,0.538358,0.526951,0.958333,0.958333,0.669100,0.669100,0.718688,0.619512,0.238015,0.500000,0.500000,0.500000,1.000000,0.987847,0.990591,0.666667,0.000000,0.025431,0.512574,0.538289,0.527640,0.979167,0.978723
30,0.677115,0.667720,0.667720,0.705707,0.629733,0.237315,0.604167,0.604167,0.558140,1.000000,0.977431,0.984375,0.716418,0.340997,0.084040,0.506196,0.532836,0.520457,0.958333,0.958333,0.666752,0.666752,0.703635,0.629870,0.236831,0.583333,0.583333,0.545455,1.000000,0.989583,0.991667,0.705882,0.301511,0.063790,0.505180,0.532758,0.521032,0.979167,0.978723
31,0.679505,0.672134,0.672134,0.627014,0.717254,0.239517,0.562500,0.562500,1.000000,0.125000,0.982639,0.986900,0.222222,0.258199,0.039139,0.465796,0.488175,0.477008,0.958333,0.958333,0.671397,0.671397,0.625403,0.717392,0.239150,0.541667,0.541667,1.000000,0.083333,0.994792,0.995370,0.153846,0.208514,0.023478,0.464938,0.488105,0.476474,0.979167,0.978723
32,0.669745,0.665627,0.665627,0.677167,0.654086,0.236250,0.937500,0.937500,0.920000,0.958333,0.977431,0.983357,0.938776,0.875761,0.422633,0.491904,0.520036,0.506724,0.958333,0.958333,0.664617,0.664617,0.674982,0.654252,0.235745,0.937500,0.937500,0.920000,0.958333,0.994792,0.995370,0.938776,0.875761,0.422317,0.490801,0.519944,0.506670,0.979167,0.978723
33,0.661752,0.663349,0.663349,0.768765,0.557934,0.235312,0.500000,0.500000,0.500000,1.000000,0.979167,0.985169,0.666667,0.000000,0.071074,0.536319,0.572561,0.555839,0.958333,0.958333,0.661916,0.661916,0.765718,0.558113,0.234599,0.500000,0.500000,0.500000,1.000000,0.989583,0.991667,0.666667,0.000000,0.070220,0.534921,0.572448,0.557017,0.979167,0.978723
34,0.663012,0.658588,0.658588,0.752280,0.564895,0.232919,0.500000,0.500000,0.500000,1.000000,0.977431,0.983357,0.666667,0.000000,0.048616,0.528602,0.568631,0.550078,0.958333,0.958333,0.657048,0.657048,0.748981,0.565115,0.232151,0.500000,0.500000,0.500000,1.000000,0.989583,0.991667,0.666667,0.000000,0.064374,0.527064,0.568494,0.551063,0.979167,0.978723
