experiment_name,phase,input_resolution,num_layers,conv_filters,final_feature_map_height,final_feature_map_width,final_channels,final_avg_pool,final_pool_area,final_pool_work,tier,weight_bits,activation_bits,pruning_target,reuse_factor,status,skip_reason,config_path
res1024_layers7_W6A6_P0_RFbase,4,1024,7,"[8, 16, 24, 24, 32, 32, 32]",4,4,32,"[4, 4]",16,512,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res1024_layers7_W6A6_P0_RFbase.yaml
res1024_layers7_W8A8_P0_RFbase,4,1024,7,"[8, 16, 24, 24, 32, 32, 32]",4,4,32,"[4, 4]",16,512,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res1024_layers7_W8A8_P0_RFbase.yaml
res1024_layers7_WfloatAfloat_P0_RFbase,2,1024,7,"[8, 16, 24, 24, 32, 32, 32]",4,4,32,"[4, 4]",16,512,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res1024_layers7_WfloatAfloat_P0_RFbase.yaml
res2048_layers5_WfloatAfloat_P0_RFbase_boundary,2,2048,5,"[8, 16, 24, 24, 32]",32,32,32,"[32, 32]",1024,32768,yellow,float,float,0,1,pending,,configs/hls4ml_experiment_global/res2048_layers5_WfloatAfloat_P0_RFbase_boundary.yaml
res2048_layers6_W2A2_P0_RFbase,4,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res2048_layers6_W2A2_P0_RFbase.yaml
res2048_layers6_W3A3_P0_RFbase,4,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res2048_layers6_W3A3_P0_RFbase.yaml
res2048_layers6_W4A4_P0_RFbase,4,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res2048_layers6_W4A4_P0_RFbase.yaml
res2048_layers6_W6A6_P0_RFbase,4,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res2048_layers6_W6A6_P0_RFbase.yaml
res2048_layers6_W8A8_P0_RFbase,4.5,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res2048_layers6_W8A8_P0_RFbase.yaml
res2048_layers6_W8A8_P25_RFbase,4.5,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,8,8,25,1,pending,,configs/hls4ml_experiment_global/res2048_layers6_W8A8_P25_RFbase.yaml
res2048_layers6_W8A8_P50_RF1,5,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res2048_layers6_W8A8_P50_RF1.yaml
res2048_layers6_W8A8_P50_RF16,5,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,8,8,50,16,pending,,configs/hls4ml_experiment_global/res2048_layers6_W8A8_P50_RF16.yaml
res2048_layers6_W8A8_P50_RF2,5,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,8,8,50,2,pending,,configs/hls4ml_experiment_global/res2048_layers6_W8A8_P50_RF2.yaml
res2048_layers6_W8A8_P50_RF32,5,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,8,8,50,32,pending,,configs/hls4ml_experiment_global/res2048_layers6_W8A8_P50_RF32.yaml
res2048_layers6_W8A8_P50_RF4,5,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,8,8,50,4,pending,,configs/hls4ml_experiment_global/res2048_layers6_W8A8_P50_RF4.yaml
res2048_layers6_W8A8_P50_RF8,5,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,8,8,50,8,pending,,configs/hls4ml_experiment_global/res2048_layers6_W8A8_P50_RF8.yaml
res2048_layers6_W8A8_P50_RFbase,4.5,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res2048_layers6_W8A8_P50_RFbase.yaml
res2048_layers6_W8A8_P75_RFbase,4.5,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,8,8,75,1,pending,,configs/hls4ml_experiment_global/res2048_layers6_W8A8_P75_RFbase.yaml
res2048_layers6_WfloatAfloat_P0_RFbase,2,2048,6,"[8, 16, 24, 24, 32, 32]",16,16,32,"[16, 16]",256,8192,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res2048_layers6_WfloatAfloat_P0_RFbase.yaml
res2048_layers7_WfloatAfloat_P0_RFbase,2,2048,7,"[8, 16, 24, 24, 32, 32, 32]",8,8,32,"[8, 8]",64,2048,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res2048_layers7_WfloatAfloat_P0_RFbase.yaml
