input_resolution,num_layers,column_group,column,status,success,failed,running,skipped_red,other,total,experiments
256,4,Quantization,W4A4,success,1,0,0,0,0,1,res256_layers4_W4A4_P0_RFbase
256,4,Quantization,W6A6,success,1,0,0,0,0,1,res256_layers4_W6A6_P0_RFbase
256,4,Quantization,W8A8,success,1,0,0,0,0,1,res256_layers4_W8A8_P0_RFbase
256,4,Pruning,P25,empty,0,0,0,0,0,0,
256,4,Pruning,P50,empty,0,0,0,0,0,0,
256,4,Pruning,P75,empty,0,0,0,0,0,0,
256,4,Reuse Factor,RF1,empty,0,0,0,0,0,0,
256,4,Reuse Factor,RF2,empty,0,0,0,0,0,0,
256,4,Reuse Factor,RF4,empty,0,0,0,0,0,0,
256,4,Reuse Factor,RF8,empty,0,0,0,0,0,0,
256,4,Reuse Factor,RF16,empty,0,0,0,0,0,0,
256,4,Reuse Factor,RF32,empty,0,0,0,0,0,0,
256,5,Baseline,P1/2/3,success,1,0,0,0,0,1,res256_layers5_WfloatAfloat_P0_RFbase
256,5,Quantization,W2A2,success,1,0,0,0,0,1,res256_layers5_W2A2_P0_RFbase
256,5,Quantization,W3A3,success,1,0,0,0,0,1,res256_layers5_W3A3_P0_RFbase
256,5,Quantization,W4A4,success,1,0,0,0,0,1,res256_layers5_W4A4_P0_RFbase
256,5,Quantization,W6A6,success,1,0,0,0,0,1,res256_layers5_W6A6_P0_RFbase
256,5,Quantization,W8A8,success,1,0,0,0,0,1,res256_layers5_W8A8_P0_RFbase
256,5,Pruning,P25,success,1,0,0,0,0,1,res256_layers5_W8A8_P25_RFbase
256,5,Pruning,P50,success,1,0,0,0,0,1,res256_layers5_W8A8_P50_RFbase
256,5,Pruning,P75,success,1,0,0,0,0,1,res256_layers5_W8A8_P75_RFbase
256,5,Reuse Factor,RF1,empty,0,0,0,0,0,0,
256,5,Reuse Factor,RF2,empty,0,0,0,0,0,0,
256,5,Reuse Factor,RF4,empty,0,0,0,0,0,0,
256,5,Reuse Factor,RF8,empty,0,0,0,0,0,0,
256,5,Reuse Factor,RF16,empty,0,0,0,0,0,0,
256,5,Reuse Factor,RF32,empty,0,0,0,0,0,0,
256,6,Baseline,P1/2/3,success,1,0,0,0,0,1,res256_layers6_WfloatAfloat_P0_RFbase
