epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
34,0.683950,0.683704,0.683704,0.671164,0.696789,0.245279,0.638298,0.630435,1.000000,0.260870,1.000000,1.000000,0.413793,0.390774,0.130725,0.488883,0.498200,0.492624,1.000000,1.000000,0.683938,0.683938,0.671385,0.697037,0.245397,0.638298,0.630435,1.000000,0.260870,0.990942,0.991117,0.413793,0.390774,0.130654,0.488996,0.498078,0.492401,0.957447,0.956522
35,0.682018,0.680140,0.680140,0.688071,0.671865,0.243498,0.872340,0.875000,0.793103,1.000000,1.000000,1.000000,0.884615,0.771251,0.365471,0.497448,0.510788,0.502902,1.000000,1.000000,0.680511,0.680511,0.688451,0.672225,0.243683,0.893617,0.895833,0.821429,1.000000,0.994565,0.994322,0.901961,0.806410,0.386905,0.497638,0.510607,0.501469,0.978723,0.978723
36,0.684728,0.687979,0.687979,0.629421,0.749084,0.247425,0.510638,0.500000,0.000000,0.000000,0.980072,0.980588,0.000000,0.000000,0.019465,0.467099,0.472815,0.468661,0.936170,0.936170,0.688156,0.688156,0.629397,0.749469,0.247513,0.510638,0.500000,0.000000,0.000000,0.978261,0.980138,0.000000,0.000000,0.019560,0.467087,0.472634,0.468673,0.936170,0.933333
37,0.685810,0.679469,0.679469,0.694626,0.663654,0.243165,0.744681,0.750000,0.657143,1.000000,1.000000,1.000000,0.793103,0.573212,0.236198,0.500731,0.515007,0.506262,1.000000,1.000000,0.679775,0.679775,0.694985,0.663904,0.243318,0.702128,0.708333,0.621622,1.000000,0.994565,0.994631,0.766667,0.508929,0.193650,0.500911,0.514883,0.504883,0.957447,0.958333
38,0.678835,0.678825,0.678825,0.649704,0.709211,0.242845,0.617021,0.608696,1.000000,0.217391,0.992754,0.992655,0.357143,0.352454,0.100889,0.477794,0.492093,0.481316,0.957447,0.958333,0.679233,0.679233,0.649837,0.709907,0.243049,0.617021,0.608696,1.000000,0.217391,0.981884,0.984184,0.357143,0.352454,0.100651,0.477864,0.491758,0.483080,0.957447,0.954545
39,0.676892,0.670727,0.670727,0.791588,0.544612,0.239035,0.489362,0.500000,0.489362,1.000000,1.000000,1.000000,0.657143,0.000000,0.141299,0.546815,0.580235,0.560748,1.000000,1.000000,0.671511,0.671511,0.792465,0.545299,0.239423,0.489362,0.500000,0.489362,1.000000,0.994565,0.994322,0.657143,0.000000,0.141094,0.547208,0.579854,0.557618,0.978723,0.978723
40,0.660014,0.658759,0.658759,0.663672,0.653632,0.232828,0.936170,0.934783,1.000000,0.869565,0.992754,0.992655,0.930233,0.879174,0.418171,0.485008,0.520462,0.495189,0.957447,0.958333,0.659833,0.659833,0.664247,0.655227,0.233366,0.914894,0.913043,1.000000,0.826087,0.980072,0.982339,0.904762,0.841472,0.396914,0.485304,0.519669,0.497333,0.936170,0.933333
41,0.662890,0.665263,0.665263,0.596839,0.736662,0.236123,0.617021,0.608696,1.000000,0.217391,0.980072,0.980028,0.357143,0.352454,0.079131,0.449431,0.479067,0.458739,0.936170,0.936170,0.666369,0.666369,0.597007,0.738747,0.236672,0.617021,0.608696,1.000000,0.217391,0.976449,0.978906,0.357143,0.352454,0.078391,0.449529,0.478114,0.458739,0.936170,0.933333
42,0.642898,0.642067,0.642067,0.621219,0.663822,0.224534,0.808511,0.804348,1.000000,0.608696,0.989130,0.989384,0.756757,0.665348,0.276590,0.462640,0.515717,0.473687,0.936170,0.938776,0.643953,0.643953,0.622130,0.666725,0.225477,0.808511,0.804348,1.000000,0.608696,0.978261,0.980138,0.756757,0.665348,0.276762,0.463139,0.514327,0.481451,0.936170,0.933333
43,0.633868,0.638525,0.638525,0.564294,0.715984,0.222890,0.659574,0.652174,1.000000,0.304348,0.983696,0.984084,0.466667,0.427327,0.109351,0.431159,0.489947,0.450751,0.936170,0.936170,0.640927,0.640927,0.565147,0.720001,0.224078,0.680851,0.673913,1.000000,0.347826,0.978261,0.980138,0.516129,0.462652,0.129743,0.431662,0.488143,0.450751,0.936170,0.933333
