epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
32,0.691868,0.691279,0.691279,0.699400,0.683158,0.249066,0.500000,0.500000,0.500000,1.000000,0.934028,0.946534,0.666667,0.000000,0.004068,0.503116,0.505021,0.503813,0.875000,0.869565,0.691243,0.691243,0.699336,0.683150,0.249048,0.500000,0.500000,0.500000,1.000000,0.937500,0.950626,0.666667,0.000000,0.004054,0.503084,0.505024,0.503798,0.895833,0.893617
33,0.692585,0.691044,0.691044,0.717819,0.664269,0.248949,0.500000,0.500000,0.500000,1.000000,0.892361,0.917491,0.666667,0.000000,0.013418,0.512184,0.514652,0.514132,0.854167,0.829268,0.691007,0.691007,0.717765,0.664249,0.248931,0.500000,0.500000,0.500000,1.000000,0.888889,0.914772,0.666667,0.000000,0.013410,0.512157,0.514662,0.514037,0.854167,0.829268
34,0.691962,0.691261,0.691261,0.693190,0.689333,0.249057,0.770833,0.770833,0.685714,1.000000,0.947917,0.959151,0.813559,0.609449,0.269640,0.500021,0.501912,0.500944,0.895833,0.883721,0.691225,0.691225,0.693122,0.689329,0.249039,0.770833,0.770833,0.685714,1.000000,0.947917,0.960618,0.813559,0.609449,0.269629,0.499987,0.501914,0.500758,0.916667,0.913043
35,0.691947,0.690964,0.690964,0.703412,0.678516,0.248908,0.500000,0.500000,0.500000,1.000000,0.920139,0.936548,0.666667,0.000000,0.006238,0.505105,0.507371,0.506776,0.854167,0.829268,0.690922,0.690922,0.703341,0.678503,0.248888,0.500000,0.500000,0.500000,1.000000,0.925347,0.942000,0.666667,0.000000,0.006224,0.505070,0.507377,0.505858,0.875000,0.875000
36,0.692250,0.690868,0.690868,0.703301,0.678435,0.248861,0.500000,0.500000,0.500000,1.000000,0.920139,0.936548,0.666667,0.000000,0.006231,0.505050,0.507412,0.506788,0.854167,0.829268,0.690825,0.690825,0.703226,0.678424,0.248839,0.500000,0.500000,0.500000,1.000000,0.925347,0.942000,0.666667,0.000000,0.006216,0.505014,0.507418,0.505843,0.875000,0.875000
37,0.691468,0.690894,0.690894,0.694535,0.687253,0.248873,0.562500,0.562500,0.533333,1.000000,0.944444,0.956712,0.695652,0.258199,0.060613,0.500693,0.502957,0.501769,0.895833,0.883721,0.690854,0.690854,0.694459,0.687249,0.248853,0.583333,0.583333,0.545455,1.000000,0.946181,0.958888,0.705882,0.301511,0.081454,0.500655,0.502959,0.501586,0.895833,0.888889
38,0.695310,0.691051,0.691051,0.693123,0.688978,0.248952,0.770833,0.770833,0.685714,1.000000,0.951389,0.961867,0.813559,0.609449,0.269524,0.499987,0.502090,0.501035,0.895833,0.883721,0.691010,0.691010,0.693046,0.688974,0.248931,0.770833,0.770833,0.685714,1.000000,0.951389,0.963136,0.813559,0.609449,0.269511,0.499949,0.502092,0.500820,0.916667,0.913043
39,0.691588,0.691171,0.691171,0.686761,0.695581,0.249012,0.520833,0.520833,1.000000,0.041667,0.967014,0.973838,0.080000,0.145865,0.018604,0.496796,0.498785,0.497673,0.916667,0.909091,0.691132,0.691132,0.686686,0.695579,0.248993,0.520833,0.520833,1.000000,0.041667,0.963542,0.971992,0.080000,0.145865,0.018584,0.496759,0.498787,0.497665,0.937500,0.933333
40,0.691451,0.690914,0.690914,0.690545,0.691283,0.248884,0.854167,0.854167,1.000000,0.708333,0.953125,0.962775,0.829268,0.740532,0.352884,0.498697,0.500934,0.499844,0.895833,0.883721,0.690870,0.690870,0.690461,0.691280,0.248862,0.854167,0.854167,1.000000,0.708333,0.954861,0.965974,0.829268,0.740532,0.352859,0.498655,0.500936,0.499613,0.916667,0.909091
41,0.691245,0.690577,0.690577,0.723045,0.658108,0.248716,0.500000,0.500000,0.500000,1.000000,0.887153,0.914556,0.666667,0.000000,0.016280,0.514726,0.517834,0.517191,0.854167,0.829268,0.690528,0.690528,0.722979,0.658076,0.248692,0.500000,0.500000,0.500000,1.000000,0.881944,0.910668,0.666667,0.000000,0.016272,0.514694,0.517850,0.517066,0.854167,0.829268
42,0.692860,0.690557,0.690557,0.698470,0.682645,0.248705,0.500000,0.500000,0.500000,1.000000,0.935764,0.948419,0.666667,0.000000,0.003967,0.502653,0.505281,0.503807,0.875000,0.863636,0.690509,0.690509,0.698385,0.682633,0.248681,0.500000,0.500000,0.500000,1.000000,0.939236,0.951680,0.666667,0.000000,0.003949,0.502611,0.505287,0.503600,0.895833,0.893617
43,0.691018,0.690327,0.690327,0.713332,0.667322,0.248591,0.500000,0.500000,0.500000,1.000000,0.902778,0.924123,0.666667,0.000000,0.011537,0.509990,0.513084,0.512339,0.854167,0.829268,0.690275,0.690275,0.713248,0.667301,0.248565,0.500000,0.500000,0.500000,1.000000,0.906250,0.925574,0.666667,0.000000,0.011521,0.509949,0.513094,0.512197,0.854167,0.829268
44,0.691149,0.690157,0.690157,0.715632,0.664681,0.248506,0.500000,0.500000,0.500000,1.000000,0.899306,0.922524,0.666667,0.000000,0.012778,0.511115,0.514441,0.513650,0.854167,0.829268,0.690104,0.690104,0.715552,0.664656,0.248480,0.500000,0.500000,0.500000,1.000000,0.906250,0.925574,0.666667,0.000000,0.012765,0.511076,0.514454,0.513500,0.854167,0.829268
45,0.691436,0.690075,0.690075,0.705843,0.674307,0.248464,0.500000,0.500000,0.500000,1.000000,0.928819,0.942248,0.666667,0.000000,0.007909,0.506306,0.509512,0.508651,0.854167,0.829268,0.690023,0.690023,0.705759,0.674287,0.248438,0.500000,0.500000,0.500000,1.000000,0.932292,0.946600,0.666667,0.000000,0.007894,0.506265,0.509523,0.507618,0.875000,0.863636
46,0.693009,0.690093,0.690093,0.699858,0.680327,0.248473,0.500000,0.500000,0.500000,1.000000,0.937500,0.949631,0.666667,0.000000,0.004899,0.503343,0.506454,0.504751,0.875000,0.863636,0.690037,0.690037,0.699759,0.680314,0.248445,0.500000,0.500000,0.500000,1.000000,0.939236,0.951680,0.666667,0.000000,0.004877,0.503294,0.506460,0.504477,0.895833,0.893617
47,0.691844,0.690491,0.690491,0.682496,0.698487,0.248672,0.500000,0.500000,0.000000,0.000000,0.973958,0.980285,0.000000,0.000000,0.004008,0.494646,0.497339,0.495774,0.937500,0.933333,0.690433,0.690433,0.682374,0.698492,0.248643,0.500000,0.500000,0.000000,0.000000,0.973958,0.979384,0.000000,0.000000,0.004040,0.494584,0.497336,0.495850,0.937500,0.933333
48,0.690656,0.689819,0.689819,0.711328,0.668310,0.248337,0.500000,0.500000,0.500000,1.000000,0.918403,0.934574,0.666667,0.000000,0.010792,0.509006,0.512578,0.511652,0.854167,0.829268,0.689758,0.689758,0.711227,0.668289,0.248306,0.500000,0.500000,0.500000,1.000000,0.923611,0.939956,0.666667,0.000000,0.010773,0.508957,0.512589,0.511468,0.854167,0.829268
49,0.690329,0.689586,0.689586,0.714167,0.665004,0.248220,0.500000,0.500000,0.500000,1.000000,0.918403,0.934574,0.666667,0.000000,0.012337,0.510398,0.514276,0.513278,0.854167,0.829268,0.689520,0.689520,0.714054,0.664987,0.248188,0.500000,0.500000,0.500000,1.000000,0.923611,0.939956,0.666667,0.000000,0.012314,0.510343,0.514285,0.513075,0.854167,0.829268
50,0.690587,0.689296,0.689296,0.712481,0.666110,0.248075,0.500000,0.500000,0.500000,1.000000,0.930556,0.943758,0.666667,0.000000,0.011640,0.509572,0.513708,0.512591,0.854167,0.829268,0.689227,0.689227,0.712357,0.666098,0.248041,0.500000,0.500000,0.500000,1.000000,0.935764,0.949301,0.666667,0.000000,0.011612,0.509511,0.513714,0.511313,0.875000,0.863636
51,0.690355,0.689226,0.689226,0.695587,0.682865,0.248039,0.541667,0.541667,0.521739,1.000000,0.956597,0.965545,0.685714,0.208514,0.038374,0.501217,0.505171,0.502906,0.895833,0.888889,0.689149,0.689149,0.695421,0.682877,0.248001,0.562500,0.562500,0.533333,1.000000,0.954861,0.965974,0.695652,0.258199,0.059237,0.501134,0.505166,0.502906,0.916667,0.909091
